method,pca,lda,acc,prec,rec,f1,t_train,t_test
PCA+SVM,50,0,0.8944099378881988,0.8984596398817859,0.8944099378881988,0.8922064337656521,0.044934250065125525,0.014851832995191216
PCA+SVM,100,0,0.8540372670807453,0.8679834454596529,0.8540372670807453,0.8487134000652882,0.06268025003373623,0.019048166926950216
PCA+SVM,150,0,0.8291925465838509,0.8470534501225911,0.8291925465838509,0.821559814882002,0.0860201669856906,0.019259958062320948
PCA+SVM,200,0,0.8012422360248447,0.8448030923747853,0.8012422360248447,0.7994106160860266,0.10739479202311486,0.023123541963286698
PCA->LDA+SVM,80,6,0.8509316770186336,0.8510159716060337,0.8509316770186336,0.8505014043434496,0.03349158295895904,0.005634916014969349
PCA->LDA+SVM,150,6,0.84472049689441,0.8460395935321622,0.84472049689441,0.8447385949047861,0.04311829200014472,0.004889708012342453
PCA->LDA+SVM,120,6,0.8416149068322981,0.8415294060949016,0.8416149068322981,0.8406022939767261,0.03633100003935397,0.004900541040115058
PCA->LDA+SVM,80,4,0.8260869565217391,0.8304998140878908,0.8260869565217391,0.8277887395115816,0.033161249943077564,0.005455665988847613
PCA->LDA+SVM,120,4,0.8198757763975155,0.8293236236339403,0.8198757763975155,0.8227487746597143,0.036539125023409724,0.005159125081263483
PCA->LDA+SVM,150,4,0.7888198757763976,0.8032914204322936,0.7888198757763976,0.7942485119113853,0.04212733299937099,0.00509187497664243
PCA->LDA+SVM,150,2,0.639751552795031,0.7040218623681356,0.639751552795031,0.6554721391596188,0.04273225006181747,0.0067978749284520745
PCA->LDA+SVM,80,2,0.5993788819875776,0.6786078190631102,0.5993788819875776,0.6129154614185917,0.034398082992993295,0.0071641659596934915
PCA->LDA+SVM,120,2,0.5807453416149069,0.6702972938650751,0.5807453416149069,0.5960304677304389,0.036266708048060536,0.007221332984045148
